Date_clean,Month,Year,Type,Country,Activity,Sex,Age,Injury,Fatal,Species,nombre,name,nom,iso2,iso3,phone_code
2028-11-18,11,2028,Provoked,United States of America,fishing,M,,injury,N,blue,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
2028-11-04,11,2028,Unprovoked,Panama,swimming,M,17.0,fatal,Y,,Panamá,Panama,Panama,PA,PAN,507
1928-06-24,6,1928,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1928-04-14,4,1928,Unprovoked,Australia,fishing,M,,injury,N,tiger,Australia,Australia,Australie,AU,AUS,61
1928-04-09,4,1928,Unprovoked,Jamaica,diving,M,,fatal,Y,,Jamaica,Jamaica,Jamaïque,JM,JAM,1 876
1928-04-06,4,1928,Unprovoked,Australia,swimming,M,15.0,injury,N,,Australia,Australia,Australie,AU,AUS,61
2028-02-20,2,2028,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1928-01-01,1,1928,Unprovoked,South Africa,surf,M,18.0,injury,N,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1928-01-01,1,1928,Unprovoked,South Africa,standing,M,25.0,injury,N,,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1927-12-28,12,1927,Unprovoked,South Africa,swimming,M,17.0,fatal,Y,white,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1927-01-20,1,1927,Unprovoked,South Africa,surf,M,,injury,N,sand tiger,Sudáfrica,South Africa,Afrique du Sud,ZA,ZAF,27
1927-01-08,1,1927,Unprovoked,United States of America,swimming,M,,injury,N,,Estados Unidos de América,United States of America,États-Unis d'Amérique,US,USA,1
1927-01-01,1,1927,Unprovoked,Australia,swimming,M,10.0,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1927-01-01,1,1927,Unprovoked,Australia,diving,M,,injury,N,,Australia,Australia,Australie,AU,AUS,61
1926-12-02,12,1926,Unprovoked,Australia,diving,M,,fatal,Y,,Australia,Australia,Australie,AU,AUS,61
1926-10-29,10,1926,Unprovoked,Papua New Guinea,swimming,M,,fatal,Y,,Papúa Nueva Guinea,Papua New Guinea,Papouasie-Nouvelle-Guinée,PG,PNG,675
